event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,placses,keywords,wos_keys,bib_keys,extracted_from,comment
12396,2016,,,66,,,,,,,,WOS:000385958800007,,wos,
12397,2018,,,66,,,,,,,,WOS:000434951400001,,wos,
12398,2017,,,66,,,,,,,,WOS:000415184300005,,wos,
12399,2018,,,66,,,,,,,,WOS:000424763000003,,wos,
12400,2018,,,66,,,,,,,,WOS:000424765900008,,wos,
12401,2018,,,66,,,,,,,,WOS:000424786900001,,wos,
12402,2013,,,66,,,,,,,,WOS:000327437800017,,wos,
12403,2018,,,66,,,,,,,,WOS:000424858400002,,wos,
12404,2020,,,66,,,,,,,,WOS:000491694600001,,wos,
12405,2019,,,66,,,,,,,,WOS:000477044200009,,wos,
12406,2018,,,66,,,,,,,,WOS:000452535600009,,wos,
12407,2018,,,66,,,,,,,,WOS:000424880900007,,wos,
12408,2019,,,66,,,,,,,,WOS:000466131200045,,wos,
12409,2018,,,66,,,,,,,,WOS:000424901400003,,wos,
12410,2018,,,66,,,,,,,,WOS:000424901400004,,wos,
12411,2017,,,66,,,,,,,,WOS:000404064800026,,wos,
12412,2017,,,66,,,,,,,,WOS:000412697500002,,wos,
12413,2017,,,66,,,,,,,,WOS:000424913800019,,wos,
12414,2019,,,66,,,,,,,,WOS:000479125500002,,wos,
12415,2018,,,66,,,,,,,,WOS:000424914300022,,wos,
