UT	Date	Cit	Specific_Cases
000227707100005	2012	33	
000227707100005	2014	31	
000227707100005	2010	25	
000227707100005	2008	19	
000227707100005	2020	17	
000227707100005	2009	16	
000227707100005	2007	10	
000227707100005	2006	8	
000227707100005	2005	5	
000227070100004	2019	111	
000227070100004	2017	95	
000227070100004	2018	90	
000227070100004	2016	89	
000227070100004	2015	71	
000227070100004	2012	46	
000227070100004	2013	45	
000227070100004	2014	45	
000227070100004	2011	43	
000227070100004	2010	29	
000227070100004	2020	25	
000227070100004	2009	19	
000227070100004	2008	16	
000227070100004	2007	11	
000227070100004	2006	9	
000227070100004	2005	3	
000216592400005	2019	36	
000216592400005	2017	22	
000216592400005	2018	22	
000216592400005	2016	17	
000216592400005	2020	10	
000216592400005	2015	6	
000174710000017	2019	73	
000174710000017	2016	71	
000174710000017	2017	71	
000174710000017	2018	66	
000174710000017	2014	49	
000174710000017	2012	48	
000174710000017	2015	48	
000174710000017	2013	47	
000174710000017	2011	41	
000174710000017	2010	29	
000174710000017	2020	26	
000174710000017	2008	24	
000174710000017	2009	19	
000174710000017	2006	16	
000174710000017	2005	15	
000174710000017	2007	15	
000174710000017	2004	5	
000174710000017	2003	4	
000086338200024	2019	37	
000086338200024	2016	35	
000086338200024	2018	30	
000086338200024	2017	28	
000086338200024	2015	18	
000086338200024	2011	13	
000086338200024	2014	13	
000086338200024	2010	12	
000086338200024	2020	12	
000086338200024	2012	10	
000086338200024	2013	9	
000086338200024	2007	8	
000086338200024	2008	7	
000086338200024	2009	7	
000086338200024	2005	6	
000086338200024	2006	4	
000086338200024	2002	3	
000086338200024	2003	2	
000086338200024	2004	2	
000086338200024	2000	1	
